Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date,CTR,CPC,SQL_format
3048,NexGen Systems,Social Media,Men 18-24,45 days,Google Ads,0.08,10250,5.91,Houston,German,702,4561,10,Outdoor Adventurers,08-05-2021,14.25%,10.8,"(3048,'NexGen Systems','Social Media','Men 18-24','45 days','Google Ads',0.08,10250,5.91,'Houston','German',702,4561,10,'Outdoor Adventurers','2021-05-08',0.142454160789845,10.8032178217822)"
3049,NexGen Systems,Search,All Ages,30 days,Email,0.14,12472,6.28,Chicago,Mandarin,277,5946,8,Foodies,09-05-2021,15.39%,14.6,"(3049,'NexGen Systems','Search','All Ages','30 days','Email',0.14,12472,6.28,'Chicago','Mandarin',277,5946,8,'Foodies','2021-05-09',0.153913615435212,14.6011396011396)"
3050,NexGen Systems,Search,Women 35-44,60 days,Google Ads,0.08,18707,2.59,New York,French,191,6854,6,Foodies,10-05-2021,4.66%,45.03,"(3050,'NexGen Systems','Search','Women 35-44','60 days','Google Ads',0.08,18707,2.59,'New York','French',191,6854,6,'Foodies','2021-05-10',0.046585940127817,45.0252707581227)"
3051,TechCorp,Search,Men 25-34,30 days,YouTube,0.13,14274,6.75,Houston,English,213,8853,5,Foodies,11-05-2021,2.79%,97.94,"(3051,'TechCorp','Search','Men 25-34','30 days','YouTube',0.13,14274,6.75,'Houston','English',213,8853,5,'Foodies','2021-05-11',0.0278669390137146,97.9424083769634)"
3052,TechCorp,Display,All Ages,60 days,Google Ads,0.08,16591,7.06,Chicago,English,377,8120,1,Outdoor Adventurers,12-05-2021,2.41%,67.01,"(3052,'TechCorp','Display','All Ages','60 days','Google Ads',0.08,16591,7.06,'Chicago','English',377,8120,1,'Outdoor Adventurers','2021-05-12',0.0240596407997289,67.0140845070423)"
3053,Alpha Innovations,Search,All Ages,60 days,Email,0.11,15424,3.27,New York,French,795,4545,9,Foodies,13-05-2021,4.64%,44.01,"(3053,'Alpha Innovations','Search','All Ages','60 days','Email',0.11,15424,3.27,'New York','French',795,4545,9,'Foodies','2021-05-13',0.0464285714285714,44.0079575596817)"
3054,Alpha Innovations,Social Media,Men 18-24,60 days,Facebook,0.03,7628,7.72,Miami,French,212,8152,2,Foodies,14-05-2021,17.49%,19.4,"(3054,'Alpha Innovations','Social Media','Men 18-24','60 days','Facebook',0.03,7628,7.72,'Miami','French',212,8152,2,'Foodies','2021-05-14',0.174917491749175,19.4012578616352)"
3055,DataTech Solutions,Display,Women 35-44,45 days,Website,0.14,13465,3.31,New York,Spanish,135,1827,10,Fashionistas,15-05-2021,2.60%,35.98,"(3055,'DataTech Solutions','Display','Women 35-44','45 days','Website',0.14,13465,3.31,'New York','Spanish',135,1827,10,'Fashionistas','2021-05-15',0.0260058881256133,35.9811320754717)"
3056,NexGen Systems,Search,Men 25-34,15 days,Email,0.11,15130,8,Los Angeles,English,606,6638,9,Tech Enthusiasts,16-05-2021,7.39%,99.74,"(3056,'NexGen Systems','Search','Men 25-34','15 days','Email',0.11,15130,8,'Los Angeles','English',606,6638,9,'Tech Enthusiasts','2021-05-16',0.0738916256157636,99.7407407407407)"
3057,DataTech Solutions,Influencer,All Ages,15 days,YouTube,0.08,12729,7.87,New York,Spanish,219,9926,6,Tech Enthusiasts,17-05-2021,9.13%,24.97,"(3057,'DataTech Solutions','Influencer','All Ages','15 days','YouTube',0.08,12729,7.87,'New York','Spanish',219,9926,6,'Tech Enthusiasts','2021-05-17',0.0912925579993974,24.96699669967)"
3058,DataTech Solutions,Social Media,Men 25-34,15 days,Instagram,0.06,16133,6.7,Miami,English,833,4290,3,Foodies,18-05-2021,2.21%,58.12,"(3058,'DataTech Solutions','Social Media','Men 25-34','15 days','Instagram',0.06,16133,6.7,'Miami','English',833,4290,3,'Foodies','2021-05-18',0.0220632681845658,58.1232876712329)"
3059,Alpha Innovations,Social Media,Men 18-24,15 days,Website,0.12,16551,2.26,New York,English,758,2598,8,Health & Wellness,19-05-2021,19.42%,19.37,"(3059,'Alpha Innovations','Social Media','Men 18-24','15 days','Website',0.12,16551,2.26,'New York','English',758,2598,8,'Health & Wellness','2021-05-19',0.194172494172494,19.3673469387755)"
3060,Alpha Innovations,Email,Men 25-34,45 days,Email,0.02,17035,7.68,Houston,Spanish,444,2041,3,Fashionistas,20-05-2021,29.18%,21.84,"(3060,'Alpha Innovations','Email','Men 25-34','45 days','Email',0.02,17035,7.68,'Houston','Spanish',444,2041,3,'Fashionistas','2021-05-20',0.291762894534257,21.835092348285)"
3061,Alpha Innovations,Email,Women 35-44,60 days,Google Ads,0.1,15601,4.99,Los Angeles,Mandarin,923,8172,5,Fashionistas,21-05-2021,21.75%,38.37,"(3061,'Alpha Innovations','Email','Women 35-44','60 days','Google Ads',0.1,15601,4.99,'Los Angeles','Mandarin',923,8172,5,'Fashionistas','2021-05-21',0.217540421362077,38.3671171171171)"
3062,NexGen Systems,Search,Men 18-24,60 days,YouTube,0.04,18227,4.48,Los Angeles,Mandarin,980,9778,3,Foodies,22-05-2021,11.29%,16.9,"(3062,'NexGen Systems','Search','Men 18-24','60 days','YouTube',0.04,18227,4.48,'Los Angeles','Mandarin',980,9778,3,'Foodies','2021-05-22',0.112946647087616,16.9024918743229)"
3063,TechCorp,Influencer,Women 25-34,60 days,Instagram,0.04,18864,4.05,Los Angeles,Spanish,637,4945,8,Fashionistas,23-05-2021,10.02%,18.6,"(3063,'TechCorp','Influencer','Women 25-34','60 days','Instagram',0.04,18864,4.05,'Los Angeles','Spanish',637,4945,8,'Fashionistas','2021-05-23',0.10022499488648,18.5989795918367)"
3064,Alpha Innovations,Influencer,All Ages,45 days,Facebook,0.14,7099,4,Houston,French,260,4157,2,Outdoor Adventurers,24-05-2021,12.88%,29.61,"(3064,'Alpha Innovations','Influencer','All Ages','45 days','Facebook',0.14,7099,4,'Houston','French',260,4157,2,'Outdoor Adventurers','2021-05-24',0.12881698685541,29.6138147566719)"
3065,Alpha Innovations,Influencer,Women 25-34,30 days,Google Ads,0.1,11860,5.31,Los Angeles,Mandarin,864,8695,3,Fashionistas,25-05-2021,6.25%,27.3,"(3065,'Alpha Innovations','Influencer','Women 25-34','30 days','Google Ads',0.1,11860,5.31,'Los Angeles','Mandarin',864,8695,3,'Fashionistas','2021-05-25',0.0625451046427712,27.3038461538462)"
3066,NexGen Systems,Social Media,Men 18-24,60 days,Google Ads,0.01,19250,3.45,Houston,English,470,9343,2,Fashionistas,26-05-2021,9.94%,13.73,"(3066,'NexGen Systems','Social Media','Men 18-24','60 days','Google Ads',0.01,19250,3.45,'Houston','English',470,9343,2,'Fashionistas','2021-05-26',0.0993674525589419,13.7268518518519)"
3067,Innovate Industries,Influencer,Men 18-24,60 days,Email,0.02,14886,6.16,Miami,German,565,8241,9,Health & Wellness,27-05-2021,5.03%,40.96,"(3067,'Innovate Industries','Influencer','Men 18-24','60 days','Email',0.02,14886,6.16,'Miami','German',565,8241,9,'Health & Wellness','2021-05-27',0.050305041207321,40.9574468085106)"
3068,DataTech Solutions,Display,Women 25-34,60 days,Facebook,0.09,6218,2.08,New York,Spanish,420,4423,1,Health & Wellness,28-05-2021,6.86%,26.35,"(3068,'DataTech Solutions','Display','Women 25-34','60 days','Facebook',0.09,6218,2.08,'New York','Spanish',420,4423,1,'Health & Wellness','2021-05-28',0.0685596408202888,26.3469026548673)"
3069,Alpha Innovations,Influencer,Men 25-34,45 days,Email,0.13,15364,6.47,Chicago,Mandarin,154,1773,2,Health & Wellness,29-05-2021,9.50%,14.8,"(3069,'Alpha Innovations','Influencer','Men 25-34','45 days','Email',0.13,15364,6.47,'Chicago','Mandarin',154,1773,2,'Health & Wellness','2021-05-29',0.0949581731856206,14.8047619047619)"
3070,Alpha Innovations,Email,All Ages,45 days,YouTube,0.09,6394,2.07,Chicago,Mandarin,855,5399,3,Foodies,30-05-2021,8.69%,99.77,"(3070,'Alpha Innovations','Email','All Ages','45 days','YouTube',0.09,6394,2.07,'Chicago','Mandarin',855,5399,3,'Foodies','2021-05-30',0.086858432036097,99.7662337662338)"
3071,Alpha Innovations,Email,All Ages,15 days,YouTube,0.05,17166,6.69,Houston,German,684,1118,6,Outdoor Adventurers,31-05-2021,15.84%,7.48,"(3071,'Alpha Innovations','Email','All Ages','15 days','YouTube',0.05,17166,6.69,'Houston','German',684,1118,6,'Outdoor Adventurers','2021-05-31',0.158362659751806,7.47836257309941)"
3072,TechCorp,Email,Women 35-44,30 days,YouTube,0.07,12584,2.7,New York,Mandarin,225,2052,8,Foodies,01-06-2021,61.18%,25.1,"(3072,'TechCorp','Email','Women 35-44','30 days','YouTube',0.07,12584,2.7,'New York','Mandarin',225,2052,8,'Foodies','2021-06-01',0.611806797853309,25.0964912280702)"
3073,TechCorp,Display,Men 25-34,15 days,Email,0.03,15567,3.67,Los Angeles,French,368,4747,6,Fashionistas,02-06-2021,10.96%,55.93,"(3073,'TechCorp','Display','Men 25-34','15 days','Email',0.03,15567,3.67,'Los Angeles','French',368,4747,6,'Fashionistas','2021-06-02',0.109649122807018,55.9288888888889)"
3074,TechCorp,Search,Women 25-34,15 days,YouTube,0.05,9651,4.1,Houston,Mandarin,524,6545,10,Outdoor Adventurers,03-06-2021,7.75%,42.3,"(3074,'TechCorp','Search','Women 25-34','15 days','YouTube',0.05,9651,4.1,'Houston','Mandarin',524,6545,10,'Outdoor Adventurers','2021-06-03',0.0775226458816094,42.3016304347826)"
3075,Alpha Innovations,Search,All Ages,15 days,Facebook,0.05,10245,4.59,Chicago,French,326,7144,2,Foodies,04-06-2021,8.01%,18.42,"(3075,'Alpha Innovations','Search','All Ages','15 days','Facebook',0.05,10245,4.59,'Chicago','French',326,7144,2,'Foodies','2021-06-04',0.080061115355233,18.4179389312977)"
3076,TechCorp,Display,Women 35-44,45 days,Instagram,0.14,19268,4.83,Los Angeles,French,785,9042,5,Fashionistas,05-06-2021,4.56%,31.43,"(3076,'TechCorp','Display','Women 35-44','45 days','Instagram',0.14,19268,4.83,'Los Angeles','French',785,9042,5,'Fashionistas','2021-06-05',0.0456326987681971,31.4263803680982)"
3077,NexGen Systems,Influencer,All Ages,45 days,Facebook,0.02,16578,3.62,Los Angeles,German,166,8460,1,Foodies,06-06-2021,8.68%,24.55,"(3077,'NexGen Systems','Influencer','All Ages','45 days','Facebook',0.02,16578,3.62,'Los Angeles','German',166,8460,1,'Foodies','2021-06-06',0.0868170758681708,24.5452229299363)"
3078,TechCorp,Social Media,Men 18-24,60 days,Google Ads,0.06,8291,3.86,Chicago,Spanish,338,9830,9,Outdoor Adventurers,07-06-2021,1.96%,99.87,"(3078,'TechCorp','Social Media','Men 18-24','60 days','Google Ads',0.06,8291,3.86,'Chicago','Spanish',338,9830,9,'Outdoor Adventurers','2021-06-07',0.0196217494089835,99.8674698795181)"
3079,TechCorp,Social Media,Men 18-24,60 days,Instagram,0.07,15305,5.9,New York,Mandarin,921,1424,1,Fashionistas,08-06-2021,3.44%,24.53,"(3079,'TechCorp','Social Media','Men 18-24','60 days','Instagram',0.07,15305,5.9,'New York','Mandarin',921,1424,1,'Fashionistas','2021-06-08',0.0343845371312309,24.5295857988166)"
3080,Innovate Industries,Influencer,Women 35-44,30 days,YouTube,0.01,8295,7.08,Houston,Spanish,124,6814,4,Health & Wellness,09-06-2021,64.68%,16.62,"(3080,'Innovate Industries','Influencer','Women 35-44','30 days','YouTube',0.01,8295,7.08,'Houston','Spanish',124,6814,4,'Health & Wellness','2021-06-09',0.646769662921348,16.6178067318132)"
3081,Innovate Industries,Influencer,Women 35-44,15 days,YouTube,0.05,10556,5.24,Miami,Mandarin,353,7466,5,Outdoor Adventurers,10-06-2021,1.82%,66.9,"(3081,'Innovate Industries','Influencer','Women 35-44','15 days','YouTube',0.05,10556,5.24,'Miami','Mandarin',353,7466,5,'Outdoor Adventurers','2021-06-10',0.0181978280011741,66.8951612903226)"
3082,TechCorp,Display,Men 25-34,15 days,Email,0.14,11725,7.78,Houston,German,870,7084,3,Fashionistas,11-06-2021,4.73%,29.9,"(3082,'TechCorp','Display','Men 25-34','15 days','Email',0.14,11725,7.78,'Houston','German',870,7084,3,'Fashionistas','2021-06-11',0.0472810072327886,29.9036827195467)"
3083,Alpha Innovations,Email,Men 25-34,45 days,Website,0.1,13335,2.17,Miami,Mandarin,254,5370,5,Fashionistas,12-06-2021,12.28%,13.48,"(3083,'Alpha Innovations','Email','Men 25-34','45 days','Website',0.1,13335,2.17,'Miami','Mandarin',254,5370,5,'Fashionistas','2021-06-12',0.122811970638058,13.4770114942529)"
3084,Alpha Innovations,Email,Men 18-24,45 days,Instagram,0.05,5515,3.03,New York,Spanish,688,6210,4,Tech Enthusiasts,13-06-2021,4.73%,52.5,"(3084,'Alpha Innovations','Email','Men 18-24','45 days','Instagram',0.05,5515,3.03,'New York','Spanish',688,6210,4,'Tech Enthusiasts','2021-06-13',0.0472998137802607,52.5)"
3085,DataTech Solutions,Influencer,Women 25-34,45 days,Instagram,0.09,6151,6.14,Los Angeles,English,160,4750,7,Foodies,14-06-2021,11.08%,8.02,"(3085,'DataTech Solutions','Influencer','Women 25-34','45 days','Instagram',0.09,6151,6.14,'Los Angeles','English',160,4750,7,'Foodies','2021-06-14',0.110789049919485,8.01598837209302)"
3086,Innovate Industries,Influencer,All Ages,60 days,Email,0.06,16974,7.75,Houston,English,322,1741,6,Outdoor Adventurers,15-06-2021,3.37%,38.44,"(3086,'Innovate Industries','Influencer','All Ages','60 days','Email',0.06,16974,7.75,'Houston','English',322,1741,6,'Outdoor Adventurers','2021-06-15',0.0336842105263158,38.44375)"
3087,DataTech Solutions,Email,Men 25-34,30 days,Google Ads,0.09,10837,5.57,Los Angeles,German,310,5465,10,Health & Wellness,16-06-2021,18.50%,52.71,"(3087,'DataTech Solutions','Email','Men 25-34','30 days','Google Ads',0.09,10837,5.57,'Los Angeles','German',310,5465,10,'Health & Wellness','2021-06-16',0.184951177484204,52.7142857142857)"
3088,TechCorp,Influencer,Men 25-34,60 days,Google Ads,0.1,17287,4.01,New York,Spanish,635,4656,3,Foodies,17-06-2021,5.67%,34.96,"(3088,'TechCorp','Influencer','Men 25-34','60 days','Google Ads',0.1,17287,4.01,'New York','Spanish',635,4656,3,'Foodies','2021-06-17',0.0567246111619396,34.958064516129)"
3089,Innovate Industries,Social Media,Women 35-44,60 days,Instagram,0.12,18266,5.99,Houston,German,872,9882,5,Fashionistas,18-06-2021,13.64%,27.22,"(3089,'Innovate Industries','Social Media','Women 35-44','60 days','Instagram',0.12,18266,5.99,'Houston','German',872,9882,5,'Fashionistas','2021-06-18',0.136383161512027,27.2236220472441)"
3090,DataTech Solutions,Display,All Ages,45 days,Google Ads,0.11,5379,5.05,New York,French,157,7462,6,Foodies,19-06-2021,8.82%,20.95,"(3090,'DataTech Solutions','Display','All Ages','45 days','Google Ads',0.11,5379,5.05,'New York','French',157,7462,6,'Foodies','2021-06-19',0.0882412467111921,20.947247706422)"
3091,Alpha Innovations,Email,Men 25-34,45 days,Instagram,0.08,5535,7.37,Chicago,Spanish,920,8408,6,Fashionistas,20-06-2021,2.10%,34.26,"(3091,'Alpha Innovations','Email','Men 25-34','45 days','Instagram',0.08,5535,7.37,'Chicago','Spanish',920,8408,6,'Fashionistas','2021-06-20',0.021039935674082,34.2611464968153)"
3092,Alpha Innovations,Search,Women 25-34,30 days,Facebook,0.11,7927,7.22,Los Angeles,English,228,9844,7,Fashionistas,21-06-2021,10.94%,6.02,"(3092,'Alpha Innovations','Search','Women 25-34','30 days','Facebook',0.11,7927,7.22,'Los Angeles','English',228,9844,7,'Fashionistas','2021-06-21',0.10941960038059,6.01630434782609)"
3093,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.09,10314,6.17,New York,German,437,8291,10,Health & Wellness,22-06-2021,2.32%,34.77,"(3093,'NexGen Systems','Influencer','All Ages','45 days','YouTube',0.09,10314,6.17,'New York','German',437,8291,10,'Health & Wellness','2021-06-22',0.0231613165379927,34.7675438596491)"
3094,TechCorp,Social Media,Women 25-34,15 days,Facebook,0.11,14200,6.76,Chicago,French,682,4975,6,Foodies,23-06-2021,5.27%,23.6,"(3094,'TechCorp','Social Media','Women 25-34','15 days','Facebook',0.11,14200,6.76,'Chicago','French',682,4975,6,'Foodies','2021-06-23',0.0527077553974189,23.6018306636156)"
3095,TechCorp,Email,Women 35-44,60 days,YouTube,0.07,16898,7.18,Miami,French,956,1569,4,Outdoor Adventurers,24-06-2021,13.71%,20.82,"(3095,'TechCorp','Email','Women 35-44','60 days','YouTube',0.07,16898,7.18,'Miami','French',956,1569,4,'Outdoor Adventurers','2021-06-24',0.137085427135678,20.8211143695015)"
3096,Alpha Innovations,Display,Men 25-34,45 days,Email,0.13,11448,3.5,Houston,Mandarin,938,1653,7,Foodies,25-06-2021,60.93%,17.68,"(3096,'Alpha Innovations','Display','Men 25-34','45 days','Email',0.13,11448,3.5,'Houston','Mandarin',938,1653,7,'Foodies','2021-06-25',0.609305289993627,17.6757322175732)"
3097,Innovate Industries,Influencer,Women 35-44,45 days,YouTube,0.06,10285,3.64,Chicago,Mandarin,961,9394,6,Outdoor Adventurers,26-06-2021,56.75%,12.2,"(3097,'Innovate Industries','Influencer','Women 35-44','45 days','YouTube',0.06,10285,3.64,'Chicago','Mandarin',961,9394,6,'Outdoor Adventurers','2021-06-26',0.567453115547489,12.2046908315565)"
3098,TechCorp,Search,Women 25-34,45 days,Email,0.02,5719,6.06,Chicago,Spanish,784,7898,8,Outdoor Adventurers,27-06-2021,10.23%,10.7,"(3098,'TechCorp','Search','Women 25-34','45 days','Email',0.02,5719,6.06,'Chicago','Spanish',784,7898,8,'Outdoor Adventurers','2021-06-27',0.102299340004258,10.7023933402706)"
3099,NexGen Systems,Display,Men 25-34,60 days,Instagram,0.11,18947,5.08,Chicago,English,846,3188,10,Foodies,28-06-2021,9.93%,7.29,"(3099,'NexGen Systems','Display','Men 25-34','60 days','Instagram',0.11,18947,5.08,'Chicago','English',846,3188,10,'Foodies','2021-06-28',0.0992656368700937,7.29464285714286)"
3100,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,13352,5.87,New York,Spanish,345,6284,3,Tech Enthusiasts,29-06-2021,26.54%,22.4,"(3100,'DataTech Solutions','Display','All Ages','60 days','YouTube',0.11,13352,5.87,'New York','Spanish',345,6284,3,'Tech Enthusiasts','2021-06-29',0.265370138017566,22.3959810874704)"
3101,DataTech Solutions,Social Media,Men 18-24,15 days,Website,0.11,19002,3.87,Houston,German,248,9638,8,Foodies,30-06-2021,5.49%,38.7,"(3101,'DataTech Solutions','Social Media','Men 18-24','15 days','Website',0.11,19002,3.87,'Houston','German',248,9638,8,'Foodies','2021-06-30',0.0549013367281986,38.7014492753623)"
3102,Innovate Industries,Display,Women 35-44,60 days,Website,0.13,19509,7.65,Houston,French,540,6194,7,Health & Wellness,01-07-2021,2.57%,76.62,"(3102,'Innovate Industries','Display','Women 35-44','60 days','Website',0.13,19509,7.65,'Houston','French',540,6194,7,'Health & Wellness','2021-07-01',0.0257314795600747,76.6209677419355)"
3103,Alpha Innovations,Display,All Ages,15 days,Facebook,0.13,5055,2.17,New York,Mandarin,912,6850,8,Foodies,02-07-2021,8.72%,36.13,"(3103,'Alpha Innovations','Display','All Ages','15 days','Facebook',0.13,5055,2.17,'New York','Mandarin',912,6850,8,'Foodies','2021-07-02',0.0871811430416532,36.1277777777778)"
3104,NexGen Systems,Social Media,Men 18-24,45 days,Google Ads,0.1,6399,2.5,Chicago,Mandarin,129,9693,8,Health & Wellness,03-07-2021,13.31%,5.54,"(3104,'NexGen Systems','Social Media','Men 18-24','45 days','Google Ads',0.1,6399,2.5,'Chicago','Mandarin',129,9693,8,'Health & Wellness','2021-07-03',0.133138686131387,5.54276315789474)"
3105,DataTech Solutions,Social Media,Men 25-34,45 days,Facebook,0.14,16996,3.68,Miami,Spanish,271,1876,5,Outdoor Adventurers,04-07-2021,1.33%,49.6,"(3105,'DataTech Solutions','Social Media','Men 25-34','45 days','Facebook',0.14,16996,3.68,'Miami','Spanish',271,1876,5,'Outdoor Adventurers','2021-07-04',0.0133085731971526,49.6046511627907)"
3106,TechCorp,Influencer,Men 18-24,15 days,Facebook,0.07,6709,2.13,New York,French,331,4525,3,Tech Enthusiasts,05-07-2021,14.45%,62.72,"(3106,'TechCorp','Influencer','Men 18-24','15 days','Facebook',0.07,6709,2.13,'New York','French',331,4525,3,'Tech Enthusiasts','2021-07-05',0.144456289978678,62.7158671586716)"
3107,Alpha Innovations,Social Media,Men 18-24,45 days,Email,0.03,10052,4.88,Chicago,French,241,3693,10,Foodies,06-07-2021,7.31%,20.27,"(3107,'Alpha Innovations','Social Media','Men 18-24','45 days','Email',0.03,10052,4.88,'Chicago','French',241,3693,10,'Foodies','2021-07-06',0.0731491712707182,20.2688821752266)"
3108,Alpha Innovations,Search,Men 25-34,45 days,Facebook,0.06,18613,5.03,Miami,French,908,5403,3,Outdoor Adventurers,07-07-2021,6.53%,41.71,"(3108,'Alpha Innovations','Search','Men 25-34','45 days','Facebook',0.06,18613,5.03,'Miami','French',908,5403,3,'Outdoor Adventurers','2021-07-07',0.0652585973463309,41.7095435684647)"
3109,Alpha Innovations,Search,Men 18-24,60 days,Instagram,0.12,18795,2.45,New York,Mandarin,626,5675,1,Outdoor Adventurers,08-07-2021,16.81%,20.5,"(3109,'Alpha Innovations','Search','Men 18-24','60 days','Instagram',0.12,18795,2.45,'New York','Mandarin',626,5675,1,'Outdoor Adventurers','2021-07-08',0.168054784379049,20.4988986784141)"
3110,TechCorp,Influencer,Men 25-34,15 days,Facebook,0.13,11860,7.85,Chicago,German,839,6432,8,Fashionistas,09-07-2021,11.03%,30.02,"(3110,'TechCorp','Influencer','Men 25-34','15 days','Facebook',0.13,11860,7.85,'Chicago','German',839,6432,8,'Fashionistas','2021-07-09',0.110308370044053,30.0239616613419)"
3111,TechCorp,Social Media,Women 25-34,45 days,Google Ads,0.08,9568,2.88,Los Angeles,English,201,8911,4,Foodies,10-07-2021,13.04%,14.14,"(3111,'TechCorp','Social Media','Women 25-34','45 days','Google Ads',0.08,9568,2.88,'Los Angeles','English',201,8911,4,'Foodies','2021-07-10',0.130441542288557,14.1358760429082)"
3112,Alpha Innovations,Social Media,Men 25-34,30 days,Google Ads,0.06,6704,3.48,New York,German,644,4991,3,Outdoor Adventurers,11-07-2021,2.26%,47.6,"(3112,'Alpha Innovations','Social Media','Men 25-34','30 days','Google Ads',0.06,6704,3.48,'New York','German',644,4991,3,'Outdoor Adventurers','2021-07-11',0.0225563909774436,47.6019900497512)"
3113,Alpha Innovations,Influencer,Men 25-34,60 days,YouTube,0.08,13289,7.27,Chicago,Spanish,356,8491,1,Health & Wellness,12-07-2021,12.90%,10.41,"(3113,'Alpha Innovations','Influencer','Men 25-34','60 days','YouTube',0.08,13289,7.27,'Chicago','Spanish',356,8491,1,'Health & Wellness','2021-07-12',0.129032258064516,10.4099378881988)"
3114,Innovate Industries,Display,Women 35-44,45 days,Instagram,0.14,14881,5.3,Miami,Mandarin,370,1673,2,Outdoor Adventurers,13-07-2021,4.19%,37.33,"(3114,'Innovate Industries','Display','Women 35-44','45 days','Instagram',0.14,14881,5.3,'Miami','Mandarin',370,1673,2,'Outdoor Adventurers','2021-07-13',0.0419267459663173,37.3286516853933)"
3115,DataTech Solutions,Influencer,Women 35-44,15 days,Facebook,0.01,12104,4.06,Chicago,Spanish,326,8773,7,Foodies,14-07-2021,22.12%,40.22,"(3115,'DataTech Solutions','Influencer','Women 35-44','15 days','Facebook',0.01,12104,4.06,'Chicago','Spanish',326,8773,7,'Foodies','2021-07-14',0.221159593544531,40.2189189189189)"
3116,Innovate Industries,Email,Women 35-44,45 days,YouTube,0.11,9429,3.03,Miami,German,771,4750,5,Health & Wellness,15-07-2021,3.72%,37.13,"(3116,'Innovate Industries','Email','Women 35-44','45 days','YouTube',0.11,9429,3.03,'Miami','German',771,4750,5,'Health & Wellness','2021-07-15',0.0371594665450815,37.1288343558282)"
3117,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,9866,5.81,Los Angeles,German,434,8875,2,Outdoor Adventurers,16-07-2021,16.23%,12.23,"(3117,'Alpha Innovations','Influencer','Men 25-34','30 days','YouTube',0.07,9866,5.81,'Los Angeles','German',434,8875,2,'Outdoor Adventurers','2021-07-16',0.162315789473684,12.2295719844358)"
3118,NexGen Systems,Display,Men 25-34,15 days,Instagram,0.05,13988,3.23,Houston,German,531,5174,2,Outdoor Adventurers,17-07-2021,4.89%,22.73,"(3118,'NexGen Systems','Display','Men 25-34','15 days','Instagram',0.05,13988,3.23,'Houston','German',531,5174,2,'Outdoor Adventurers','2021-07-17',0.0489014084507042,22.7327188940092)"
3119,Innovate Industries,Social Media,Men 18-24,45 days,Google Ads,0.15,17150,2.29,Chicago,German,165,5108,2,Foodies,18-07-2021,10.26%,26.34,"(3119,'Innovate Industries','Social Media','Men 18-24','45 days','Google Ads',0.15,17150,2.29,'Chicago','German',165,5108,2,'Foodies','2021-07-18',0.102628527251643,26.3427495291902)"
3120,Alpha Innovations,Social Media,Women 35-44,45 days,Instagram,0.04,15788,6.31,New York,French,976,4938,7,Tech Enthusiasts,19-07-2021,3.23%,103.94,"(3120,'Alpha Innovations','Social Media','Women 35-44','45 days','Instagram',0.04,15788,6.31,'New York','French',976,4938,7,'Tech Enthusiasts','2021-07-19',0.0323022709475333,103.939393939394)"
3121,NexGen Systems,Social Media,All Ages,60 days,Website,0.08,8099,3.74,Chicago,Mandarin,242,8624,8,Fashionistas,20-07-2021,19.77%,16.18,"(3121,'NexGen Systems','Social Media','All Ages','60 days','Website',0.08,8099,3.74,'Chicago','Mandarin',242,8624,8,'Fashionistas','2021-07-20',0.197650870797894,16.1762295081967)"
3122,TechCorp,Social Media,All Ages,30 days,Instagram,0.13,16813,3.09,Houston,Spanish,948,8134,5,Outdoor Adventurers,21-07-2021,2.81%,33.47,"(3122,'TechCorp','Social Media','All Ages','30 days','Instagram',0.13,16813,3.09,'Houston','Spanish',948,8134,5,'Outdoor Adventurers','2021-07-21',0.0280612244897959,33.4669421487603)"
3123,NexGen Systems,Email,Men 25-34,45 days,Website,0.08,9700,2.22,Los Angeles,English,994,8803,1,Health & Wellness,22-07-2021,11.65%,17.74,"(3123,'NexGen Systems','Email','Men 25-34','45 days','Website',0.08,9700,2.22,'Los Angeles','English',994,8803,1,'Health & Wellness','2021-07-22',0.116547823948857,17.7352320675105)"
3124,Alpha Innovations,Social Media,All Ages,15 days,Website,0.09,17484,4.92,Chicago,German,469,6286,3,Fashionistas,23-07-2021,11.29%,9.76,"(3124,'Alpha Innovations','Social Media','All Ages','15 days','Website',0.09,17484,4.92,'Chicago','German',469,6286,3,'Fashionistas','2021-07-23',0.112916051346132,9.75855130784708)"
3125,TechCorp,Influencer,Women 25-34,15 days,Facebook,0.08,10322,5.84,New York,French,777,5665,9,Outdoor Adventurers,24-07-2021,7.46%,37.28,"(3125,'TechCorp','Influencer','Women 25-34','15 days','Facebook',0.08,10322,5.84,'New York','French',777,5665,9,'Outdoor Adventurers','2021-07-24',0.0746102449888641,37.2793176972281)"
3126,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.14,5788,5.37,Houston,Mandarin,953,7914,10,Outdoor Adventurers,25-07-2021,13.72%,13.28,"(3126,'TechCorp','Social Media','Men 25-34','60 days','Facebook',0.14,5788,5.37,'Houston','Mandarin',953,7914,10,'Outdoor Adventurers','2021-07-25',0.137157987643425,13.2844272844273)"
